2000	MALICE MIZER
2001	Diary of Dreams
2002	Carpathian Forest
2003	Moi dix Mois
2004	Bella Morte
2005	Moonspell
2006	Marilyn Manson
2007	DIR EN GREY
2008	Combichrist
2009	Grendel
2010	Agonoize
2011	Behemoth
2012	Hocico
2013	Dimmu Borgir
2014	London After Midnight
2015	Psyclon Nine
2016	The Crüxshadows
2017	:wumpscut:
2018	Limbonic Art
2019	Artista sconosciuto
2020	xotox
2021	The Kovenant
2022	Feindflug
2023	Cradle of Filth
2024	Tamtrum
2025	Laibach
2026	Gorgoroth
2027	And One
2028	Amduscia
2029	Covenant
2030	Icon of Coil
2031	KMFDM
2032	Funker Vogt
2033	Dawn of Ashes
2034	Sopor Aeternus & The Ensemble of Shadows
2035	The Faint
2036	God Module
2037	Noisuf-X
2038	Das Ich
2039	Mindless Self Indulgence
2040	Pyotr Ilyich Tchaikovsky
2041	Emperor
2042	Anorexia Nervosa
2043	Reaper
2044	Gothminister
2045	Duran Duran
2046	Morcheeba
2047	Air
2048	Hooverphonic
2049	Kylie Minogue
2050	Daft Punk
2051	Thievery Corporation
2052	Goldfrapp
2053	New Order
2054	Matt Bianco
2055	Talk Talk
2056	Prefab Sprout
2057	Enigma
2058	Röyksopp
2059	Coldplay
2060	Faithless
2061	Madonna
2062	Icehouse
2063	Sade
2064	Moby
2065	Dido
2066	Depeche Mode
2067	Café Del Mar
2068	Basia
2069	Camouflage
2070	Electronic
2071	George Michael
2072	The Adventures
2073	Fiction Factory
2074	Groove Armada
2075	Portishead
2076	Marc Almond
2077	Cock Robin
2078	Cut Copy
2079	Spandau Ballet
2080	Katie Melua
2081	Deacon Blue
2082	Gorillaz
2083	Lady Gaga
2084	Kosheen
2085	Nik Kershaw
2086	Vitamin Z
2087	Jean-Michel Jarre
2088	Ministry of Sound
2089	Simply Red
2090	Fleetwood Mac
2091	Duffy
2092	Japan
2093	INXS
2094	ABC
2095	Pleq
2096	Segue
2097	Max Richter
2098	Celer
2099	Pjusk
2100	Pleq & Segue
2101	Burial
2102	Magnitophono
2103	andy graydon
2104	ddekombinacja
2105	Pleq & Anna Rose Carter
2106	Go Koyashiki
2107	Dustin O'Halloran
2108	offthesky
2109	Nebulo
2110	Fjordne
2111	Pleq & Chihiro
2112	Spyweirdos
2113	billy gomberg + offthesky
2114	Deru
2115	Lukid
2116	Manekinekod
2117	Danny Norbury
2118	Shinkei & Mise En Scene
2119	aslope
2120	The Notwist
2121	Off the Sky
2122	strom noir
2123	Aless
2124	Philippe Lamy
2125	Part Timer
2126	Deaf Center
2127	Lauki
2128	Big Brotherz
2129	cokiyu
2130	Verbose
2131	Worm Is Green
2132	Library Tapes
2133	Richard Skelton
2134	Matryoshka
2135	Aidan Baker
2136	Ylid
2137	Daisuke Miyatani
2138	Dakota Suite
2139	Ryonkt
2140	Hird
2141	Svarte Greiner
2142	The Boats
2143	The Sound Of Lucrecia
2144	Porzellan
2145	Deep Forest
2146	Porcupine Tree
2147	De/Vision
2148	Radiohead
2149	Robbie Williams
2150	VAST
2151	Michael Jackson
2152	עברי לידר
2153	The Cure
2154	אביב גפן
2155	Enrique Iglesias
2156	God Is an Astronaut
2157	Pink Floyd
2158	יוני בלוך
2159	Planet Funk
2160	The Cranberries
2161	Scissor Sisters
2162	דניאל סלומון
2163	אביתר בנאי
2164	Mew
2165	Stereophonics
2166	Garbage
2167	Placebo
2168	Infected Mushroom
2169	Delerium
2170	Scorpions
2171	Rock Star Supernova
2172	Dolores O'Riordan
2173	Tommy Lee
2174	Roxette
2175	Paradise Lost
2176	Keane
2177	Jamiroquai
2178	James Blunt
2179	Reamonn
2180	Blackfield
2181	a-ha
2182	Opeth
2183	Poets of the Fall
2184	Muse
2185	OneRepublic
2186	Elton John
2187	Tears for Fears
2188	The Tiger Lillies
2189	Bright Eyes
2190	Beirut
2191	Tom Waits
2192	System of a Down
2193	Arcade Fire
2194	Gogol Bordello
2195	Ленинград
2196	CAKE
2197	Blur
